Company,Website,Year,Founded,Category,Headquarters Location,Description,Crunchbase Rank,Twitter,Facebook,Number of Employees,Total Funding Amount
Vimeo,vimeo.com,2004,,Video, New York,,,,,,
Truveo,www.truveo.com,2004,,Video,"San Francisco, California",,,,,,
Dailymotion,www.dailymotion.com,2005,,Video, Paris,,,,,,
Youtube,www.youtube.com,2005,,Video,"San Bruno, California",,,,,,
Google Drive,drive.google.com,2012,,Filesharing,,,,,,,
Elephant Drive,home.elephantdrive.com,2005,,Filesharing,"Los Angeles, CA",,,,,,
Sugarsync,www.sugarsync.com,2004,,Filesharing,,,,,,,
Dropbox,www.dropbox.com,2007,,Filesharing,"San Francisco, California",,,,,,
HomeAway,www.homeaway.com,2005,,Accommodation,"Austin, TX",,,,,,
Wimdu,www.wimdu.com,2011,,Accommodation, Berlin,,,,,,
9flats,www.9flats.com,2012,,Accommodation, Berlin,,,,,,
AirBnb,www.airbnb.com,2008,,Accommodation,"San Francisco, California",,,,,,
simfy,hello.simfy.de,2006,,Music streaming, Cologne,,,,,,
Rdio,www.rdio.com,2008,,Music streaming, San Francisco,,,,,,
Deezer,www.deezer.com,2006,,Music streaming, Paris,,,,,,
Spotify,www.spotify.com,2008,,Music streaming, Luxembourg,,,,,,
Lyft,www.lyft.com,2007,,Ride sharing,"San Francisco, California",,,,,,
Hailo,www.hailoapp.com,2010,,Ride sharing, London,,,,,,
Sidecar,www.side.cr,2010,,Ride sharing, Philadelphia,,,,,,
Uber,www.uber.com,2009,,Ride sharing,"San Francisco, California",,,,,,
Bing,www.bing.com,2009,,Search,,,,,,,
DuckDuckGo,duckduckgo.com,2008,,Search,"Paoli, Pennsylvania",,,,,,
Yahoo!,www.yahoo.com,1994,,Search,"Sunnyvale, California",,,,,,
Google,www.google.com,1998,,Search,"Mountain View, California",,,,,,
Twitter,www.twitter.com,2006,,Social network,"San Francisco, California",,,,,,
Google Plus,plus.google.com,1998,,Social network,"Mountain View, California",,,,,,
Tumblr,www.tumblr.com,2007,,Social network, New York,,,,,,
Facebook,www.facebook.com,2004,,Social network,"Menlo Park, California",,,,,,
Amazon,www.amazon.com,1994,,General retail,"Seattle, Washington",,,,,,
Walmart,www.walmart.com,1962,,General retail,"Bentonville, Arkansas",,,,,,
eBay,www.ebay.com,1995,,General retail,"San Jose, California",,,,,,
Best Buy,www.bestbuy.com,1966,,General retail,"Richfield, Minnesota",,,,,,
Veed, Veed.me,2013,,Movies & TV, New York,,,,,,
Hulu, hulu.com,2007,,Movies & TV, Los Angeles,,,,,,
Netflix,netflix.com,1997,,Movies & TV,Los Gatos,,,,,,
Amazon video,amazon.com/video,2006,,Movies & TV,,,,,,,
Wickr,www.wickr.com,2011,,Ephemeral messaging, San Francisco,,,,,,
Clipchat,www.clipchat.com,2013,,Ephemeral messaging,,,,,,,
Slingshot,www.sling.me,2014,,Ephemeral messaging,,,,,,,
Snapchat,www.snapchat.com,2011,,Ephemeral messaging,"Pacific Palisades, California",,,,,,
Contour,contour.com,2004,,Action cameras,"Provo, UT",,,,,,
EyeSee360,www.eyesee360.com,1998,,Action cameras, Pittsburgh,,,,,,
Vievu,www.vievu.com,2007,,Action cameras, Seattle,,,,,,
GoPro,www.gopro.com,2003,,Action cameras,"San Mateo, California",,,,,,
Chatimity,www.chatimity.com,2011,,Dating app, Bangalore,,,,,,
Hinge,hinge.co,2011,,Dating app, New York,,,,,,
Wyldfire,www.wyldfireapp.com,2013,,Dating app,,,,,,,
Tinder,www.gotinder.com,2012,,Dating app,"West Hollywood, California",,,,,,
