Year,Month,Day,Hour,TwitterVolume
2011,09,27,19,38
2011,09,27,20,31187
2011,09,27,21,91304
2011,09,27,22,72284
2011,09,27,23,61099
2011,09,28,00,50134
2011,09,28,01,46209
2011,09,28,02,45726
2011,09,28,03,52035
2011,09,28,04,58692
2011,09,28,05,70380
2011,09,28,06,83121
2011,09,28,07,96249
2011,09,28,08,105609
2011,09,28,09,103977
2011,09,28,10,96666
2011,09,28,11,89045
2011,09,28,12,85320
2011,09,28,13,88292
2011,09,28,14,86467
2011,09,28,15,88136
2011,09,28,16,94085
2011,09,28,17,96608
2011,09,28,18,102890
2011,09,28,19,105543
2011,09,28,20,107289
2011,09,28,21,93298
2011,09,28,22,77324
2011,09,28,23,59547
2011,09,29,00,50320
2011,09,29,01,46069
2011,09,29,02,49081
2011,09,29,03,50463
2011,09,29,04,58317
2011,09,29,05,69330
2011,09,29,06,84684
2011,09,29,07,97710
2011,09,29,08,105596
2011,09,29,09,105314
2011,09,29,10,97165
2011,09,29,11,90789
2011,09,29,12,85412
2011,09,29,13,86437
2011,09,29,14,89101
2011,09,29,15,90256
2011,09,29,16,95461
2011,09,29,17,98522
2011,09,29,18,102104
2011,09,29,19,110661
2011,09,29,20,99396
2011,09,29,21,90425
2011,09,29,22,72896
2011,09,29,23,63518
2011,09,30,00,52106
2011,09,30,01,48358
2011,09,30,02,47671
2011,09,30,03,53911
2011,09,30,04,58108
2011,09,30,05,68898
2011,09,30,06,83672
2011,09,30,07,99684
2011,09,30,08,108089
2011,09,30,09,111337
2011,09,30,10,103659
2011,09,30,11,93910
2011,09,30,12,83676
2011,09,30,13,84087
2011,09,30,14,83980
2011,09,30,15,88546
2011,09,30,16,89995
2011,09,30,17,90161
2011,09,30,18,90867
2011,09,30,19,97261
2011,09,30,20,100240
2011,09,30,21,92815
2011,09,30,22,80835
2011,09,30,23,69853
2011,10,01,00,61122
2011,10,01,01,51919
2011,10,01,02,51919
2011,10,01,03,53606
2011,10,01,04,56601
2011,10,01,05,61570
2011,10,01,06,75549
2011,10,01,07,91791
2011,10,01,08,104655
2011,10,01,09,109621
2011,10,01,10,103805
2011,10,01,11,97020
2011,10,01,12,89121
2011,10,01,13,81798
2011,10,01,14,79871
2011,10,01,15,78276
2011,10,01,16,82500
2011,10,01,17,85651
2011,10,01,18,87770
2011,10,01,19,93136
2011,10,01,20,99709
2011,10,01,21,98048
2011,10,01,22,87867
2011,10,01,23,78056
2011,10,02,00,62286
2011,10,02,01,56249
2011,10,02,02,55304
2011,10,02,03,53861
2011,10,02,04,56270
2011,10,02,05,65117
2011,10,02,06,73101
2011,10,02,07,88511
2011,10,02,08,101275
2011,10,02,09,107939
2011,10,02,10,104067
2011,10,02,11,98380
2011,10,02,12,95452
2011,10,02,13,100529
2011,10,02,14,101568
2011,10,02,15,91114
2011,10,02,16,94213
2011,10,02,17,98925
2011,10,02,18,100397
2011,10,02,19,108130
2011,10,02,20,106266
2011,10,02,21,101894
2011,10,02,22,77503
2011,10,02,23,62955
2011,10,03,00,54446
2011,10,03,01,47738
2011,10,03,02,48172
2011,10,03,03,51350
2011,10,03,04,58488
2011,10,03,05,68875
2011,10,03,06,82736
2011,10,03,07,93871
2011,10,03,08,101547
2011,10,03,09,101556
2011,10,03,10,97682
2011,10,03,11,87605
2011,10,03,12,84879
2011,10,03,13,87429
2011,10,03,14,85606
2011,10,03,15,87741
2011,10,03,16,96652
2011,10,03,17,102723
2011,10,03,18,106969
2011,10,03,19,108284
2011,10,03,20,103543
2011,10,03,21,88992
2011,10,03,22,71127
2011,10,03,23,58695
2011,10,04,00,48830
2011,10,04,01,45080
2011,10,04,02,44988
2011,10,04,03,52455
2011,10,04,04,57709
2011,10,04,05,69499
2011,10,04,06,82298
2011,10,04,07,96602
2011,10,04,08,104021
2011,10,04,09,104226
2011,10,04,10,99500
2011,10,04,11,97586
2011,10,04,12,91922
2011,10,04,13,88756
2011,10,04,14,88337
2011,10,04,15,91198
2011,10,04,16,95061
2011,10,04,17,100032
2011,10,04,18,105342
2011,10,04,19,109257
2011,10,04,20,103896
2011,10,04,21,79416
2011,10,04,22,68923
2011,10,04,23,58603
2011,10,05,00,48995
2011,10,05,01,45623
2011,10,05,02,45920
2011,10,05,03,49169
2011,10,05,04,61166
2011,10,05,05,72227
2011,10,05,06,82753
2011,10,05,07,95243
2011,10,05,08,106862
2011,10,05,09,104082
2011,10,05,10,96542
2011,10,05,11,87535
2011,10,05,12,85092
2011,10,05,13,85610
2011,10,05,14,88377
2011,10,05,15,91254
2011,10,05,16,97396
2011,10,05,17,107602
2011,10,05,18,120357
2011,10,05,19,96320
2011,10,05,20,107878
2011,10,05,21,94666
2011,10,05,22,71207
2011,10,05,23,59471
2011,10,06,00,51604
2011,10,06,01,49057
2011,10,06,02,48209
2011,10,06,03,52068
2011,10,06,04,55673
2011,10,06,17,89728
2011,10,06,18,94147
2011,10,06,19,99485
2011,10,06,20,96143
2011,10,06,21,86786
2011,10,06,22,6109
2011,10,06,23,50113
2011,10,07,00,51041
2011,10,07,01,49869
2011,10,07,02,47557
2011,10,07,03,51135
2011,10,07,04,58401
2011,10,07,05,69003
2011,10,07,06,81316
2011,10,07,07,94488
2011,10,07,08,102990
2011,10,07,09,107476
2011,10,07,10,97779
2011,10,07,11,87280
2011,10,07,12,79428
2011,10,07,13,78342
2011,10,07,14,82709
2011,10,07,15,82479
2011,10,07,16,82612
2011,10,07,17,83933
2011,10,07,18,87483
2011,10,07,19,88118
2011,10,07,20,89288
2011,10,07,21,85092
2011,10,07,22,73049
2011,10,07,23,59292
2011,10,08,00,52147
2011,10,08,01,49355
2011,10,08,02,50587
2011,10,08,03,49862
2011,10,08,04,51205
2011,10,08,05,57330
2011,10,08,06,67839
2011,10,08,07,81610
2011,10,08,08,95520
2011,10,08,09,101872
2011,10,08,10,97903
2011,10,08,11,88261
2011,10,08,12,79823
2011,10,08,13,76832
2011,10,08,14,75959
2011,10,08,15,70177
2011,10,08,16,73094
2011,10,08,17,75257
2011,10,08,18,76815
2011,10,08,19,81676
2011,10,08,20,85432
2011,10,08,21,83803
2011,10,08,22,53312
2011,10,09,12,32933
2011,10,09,13,86577
2011,10,09,14,84727
2011,10,09,15,79112
2011,10,09,16,76510
2011,10,09,17,78417
2011,10,09,18,83662
2011,10,09,19,90689
2011,10,09,20,94633
2011,10,09,21,85917
2011,10,09,22,69932
2011,10,09,23,56876
2011,10,10,00,49139
2011,10,10,01,43053
2011,10,10,02,41689
2011,10,10,03,42971
2011,10,10,04,48126
2011,10,10,05,57705
2011,10,10,06,72709
2011,10,10,07,89754
2011,10,10,08,104722
2011,10,10,09,106180
2011,10,10,10,98565
2011,10,10,11,89172
2011,10,10,12,91461
2011,10,10,13,88954
2011,10,10,14,86665
2011,10,10,15,88479
2011,10,10,16,95571
2011,10,10,17,97645
2011,10,10,18,102037
2011,10,10,19,108237
2011,10,10,20,105571
2011,10,10,21,90704
2011,10,10,22,66557
2011,10,10,23,51564
2011,10,11,00,44981
2011,10,11,01,39907
2011,10,11,02,39117
2011,10,11,03,42965
2011,10,11,04,49648
2011,10,11,05,65030
2011,10,11,06,80458
2011,10,11,07,93402
2011,10,11,08,104045
